"Year","Yearly_Ranking","Title","Studio","Total_Gross","Number_of_Theaters","Opening_Gross","Number_of_Opening_Theaters","Open_Date","End_Date","Running.time","Genre","Rating","Open_Month","End_Month","Playing_day","Running.length","Gross_level","Ranking"
"2013","1","The Hunger Games: Catching Fire","LGF",424668047,4163,158074286,4163,"11/22","4/3",146,"Action / Adventure","PG-13","Nov",4,132,"long","4","1"
"2013","2","Iron Man 3","BV",409013994,4253,174144585,4253,"5/3","9/12",129,"Action / Adventure","PG-13","May",9,132,"long","4","1"
"2013","3","Frozen","BV",400738009,3742,243390,1,"11/22","7/17",108,"Animation","PG","Nov",7,237,"medium","4","1"
"2013","4","Despicable Me 2","Uni.",368061265,4003,83517315,3997,"7/3","1/16",98,"Animation","PG","Jul",1,197,"medium","3","1"
"2013","5","Man of Steel","WB",291045518,4207,116619362,4207,"6/14","9/19",143,"Action / Adventure","PG-13","Jun",9,97,"long","2","1"
"2013","6","Gravity","WB",274092705,3820,55785112,3575,"10/4","5/8",91,"Sci-Fi Thriller","PG-13","Oct",5,216,"medium","2","1"
"2013","7","Monsters University","BV",268492764,4004,82429469,4004,"6/21","12/19",107,"Animation","G","Jun",12,181,"medium","2","1"
"2013","8","The Hobbit: The Desolation of Smaug","WB",258366855,3928,73645197,3903,"12/13","4/17",161,"Fantasy","PG-13","Dec",4,125,"long","2","1"
"2013","9","Fast & Furious 6","Uni.",238679850,3771,97375245,3658,"5/24","9/5",130,"Action","PG-13","May",9,104,"long","2","1"
"2013","10","Oz The Great and Powerful","BV",234911825,3912,79110453,3912,"3/8","7/18",127,"Adventure","PG","Mar",7,132,"long","2","1"
"2013","11","Star Trek Into Darkness","Par.",228778661,3907,70165559,3868,"5/16","9/12",123,"Sci-Fi Adventure","PG-13","May",9,119,"long","2","2"
"2013","12","Thor: The Dark World","BV",206362140,3841,85737841,3841,"11/8","4/17",120,"Action / Adventure","PG-13","Nov",4,160,"long","2","2"
"2013","13","World War Z","Par.",202359711,3607,66411834,3607,"6/21","10/10",116,"Action Horror","PG-13","Jun",10,111,"medium","2","2"
"2013","14","The Croods","Fox",187168425,4065,43639736,4046,"3/22","9/19",98,"Animation","PG","Mar",9,181,"medium","1","2"
"2013","15","The Heat","Fox",159582188,3184,39115043,3181,"6/28","12/12",117,"Comedy","R","Jun",12,167,"medium","1","2"
"2013","16","We're the Millers","WB",150394119,3445,26419396,3260,"8/7","12/5",110,"Comedy","R","Aug",12,120,"medium","1","2"
"2013","17","American Hustle","Sony",150117807,2629,740455,6,"12/13","4/6",138,"Drama","R","Dec",4,114,"long","1","2"
"2013","18","The Great Gatsby (2013)","WB",144840419,3550,50085185,3535,"5/10","8/22",143,"Drama","PG-13","May",8,104,"long","1","2"
"2013","19","The Conjuring","WB",137400141,3115,41855326,2903,"7/19","10/31",112,"Horror","R","Jul",10,104,"medium","1","2"
"2013","20","Identity Thief","Uni.",134506920,3230,34551025,3141,"2/8","6/6",111,"Comedy","R","Feb",6,118,"medium","1","2"
"2013","21","Grown Ups 2","Sony",133668525,3491,41508572,3491,"7/12","11/17",101,"Comedy","PG-13","Jul",11,128,"medium","1","3"
"2013","22","The Wolverine","Fox",132556852,3924,53113752,3924,"7/26","12/5",126,"Action","PG-13","Jul",12,132,"long","1","3"
"2013","23","Anchorman 2: The Legend Continues","Par.",125168368,3507,26232425,3507,"12/18","2/20",119,"Comedy","PG-13","Dec",2,64,"medium","1","3"
"2013","24","Lone Survivor","Uni.",125095601,3285,90872,2,"12/25","4/10",121,"Action Drama","R","Dec",4,106,"long","1","3"
"2013","25","G.I. Joe: Retaliation","Par.",122523060,3734,40501814,3719,"3/28","7/18",99,"Action","PG-13","Mar",7,112,"medium","1","3"
"2013","26","Cloudy with a Chance of Meatballs 2","Sony",119793567,4001,34017930,4001,"9/27","3/16",95,"Animation","PG","Sep",3,170,"medium","1","3"
"2013","27","Now You See Me","LG/S",117723989,3082,29350389,2925,"5/31","9/26",116,"Thriller","PG-13","May",9,118,"medium","1","3"
"2013","28","The Wolf of Wall Street","Par.",116900694,2557,18361578,2537,"12/25","4/3",180,"Drama","R","Dec",4,99,"long","1","3"
"2013","29","Lee Daniels' The Butler","Wein.",116632095,3330,24637312,2933,"8/16","2/13",132,"Drama","PG-13","Aug",2,181,"long","1","3"
"2013","30","The Hangover Part III","WB",112200072,3565,41671198,3555,"5/23","8/15",100,"Comedy","R","May",8,84,"medium","1","3"
"2013","31","Epic","Fox",107518682,3894,33531068,3882,"5/24","9/19",102,"Animation","PG","May",9,118,"medium","1","4"
"2013","32","Captain Phillips","Sony",107100855,3143,25718314,3020,"10/11","3/2",134,"Drama","PG-13","Oct",3,142,"long","1","4"
"2013","33","Jackass Presents: Bad Grandpa","Par.",102003019,3345,32055177,3336,"10/25","1/23",93,"Comedy","R","Oct",1,90,"medium","1","4"
"2013","34","Pacific Rim","WB",101802906,3285,37285325,3275,"7/12","10/17",131,"Sci-Fi Action","PG-13","Jul",10,97,"long","1","4"
"2013","35","This is the End","Sony",101470202,3055,20719162,3055,"6/12","10/6",107,"Comedy","R","Jun",10,116,"medium","1","4"
"2013","36","Olympus Has Fallen","FD",98925640,3106,30373794,3098,"3/22","7/11",120,"Thriller","R","Mar",7,111,"long","0","4"
"2013","37","42","WB",95020213,3405,27487144,3003,"4/12","7/25",128,"Sports Drama","PG-13","Apr",7,104,"long","0","4"
"2013","38","Elysium","TriS",93050117,3284,29807393,3284,"8/9","11/24",109,"Sci-Fi","R","Aug",11,107,"medium","0","4"
"2013","39","Planes","BV",90288712,3716,22232291,3702,"8/9","12/19",92,"Animation","PG","Aug",12,132,"medium","0","4"
"2013","40","The Lone Ranger","BV",89302115,3904,29210849,3904,"7/3","10/10",149,"Western","PG-13","Jul",10,99,"long","0","4"
"2013","41","Oblivion","Uni.",89107235,3792,37054485,3783,"4/19","6/27",125,"Sci-Fi Adventure","PG-13","Apr",6,69,"long","0","5"
"2013","42","Insidious Chapter 2","FD",83586447,3155,40272103,3049,"9/13","12/19",105,"Horror","PG-13","Sep",12,97,"medium","0","5"
"2013","43","Saving Mr. Banks","BV",83301580,2671,413373,15,"12/13","4/17",120,"Drama","PG-13","Dec",4,125,"long","0","5"
"2013","44","Turbo","Fox",83028128,3809,21312625,3806,"7/17","12/12",96,"Animation","PG","Jul",12,148,"medium","0","5"
"2013","45","2 Guns","Uni.",75612460,3028,27059130,3025,"8/2","10/24",109,"Action Comedy","R","Aug",10,83,"medium","0","5"
"2013","46","White House Down","Sony",73103784,3222,24852258,3222,"6/28","9/15",137,"Action Drama","PG-13","Jun",9,79,"long","0","5"
"2013","47","Mama","Uni.",71628180,2781,28402310,2647,"1/18","4/4",100,"Horror","PG-13","Jan",4,76,"medium","0","5"
